EVTNAME91001;Нас взяли в морскую блокаду;X
EVTDESC91001;Стоимость импортных товаров увеличилась в 2.5 раза;X
EVTOPTA91001;Ужас!;X
EVTNAME91002;Морская блокада снята;X
EVTDESC91002; ;X
EVTOPTA91002;Превосходно!;X
EVTNAME91003;Противник взят в морскую блокаду;X
EVTDESC91003;Стоимость импорта для него увеличилась в 2.5 раза;X
EVTOPTA91003;Превосходно!;X
EVTNAME91004;Противник прорвал морскую блокаду;X
EVTDESC91004; ;X
EVTOPTA91004;Ужас!;X
EVTDESC91005;Вы не можете иметь на складе более 2000 единиц механизмов. ;Х
EVTOPTA91005;Ок;Х
EVTNAME96666;Империализм;X
EVTDESC96666;Техническое, военное, и культурное превосходство западной цивилизации над остальным миром достигло небывалого отрыва. Теперь никто не в праве мешать нам нести просвещение и технологию в отсталые страны. Цивилизаторская миссия началась. ;X
EVTOPTA96666;Пришло время расширяться!;X
EVTNAME100003;Мобилизация!;X
EVTDESC100003;Для победы в гражданской войне на Южноамериканском континенте нам требуются все доступные силы.;X
EVTOPTA100003;Ура!;X
EVTNAME99999;Война;X
EVTDESC99999;Бразилия не собирается присоединяться к нашей державе!;X
EVTOPTA99999;Остаётся только один выход;X
EVTNAME100100;Эмиссия;X
EVTDESC100100;Выберите объем;X
EVTOPTA100100;10% ВВП;X
EVTOPTB100100;25% ВВП;X
EVTOPTC100100;50% ВВП;X
EVTNAME100101;Девальвация;X
EVTDESC100101;Выберите объем;X
EVTOPTA100101;10% ВВП;X
EVTOPTB100101;25% ВВП;X
EVTOPTC100101;50% ВВП;X
EVTNAME100102;Небольшая эмиссия;X
EVTDESC100102;Первая стадия;X
EVTNAME100103;Небольшая эмиссия;X
EVTDESC100103;Вторая стадия;X
EVTNAME100104;Небольшая эмиссия;X
EVTDESC100104;Третья стадия;X
EVTNAME100105;Средняя эмиссия;X
EVTDESC100105;Первая стадия;X
EVTNAME100106;Средняя эмиссия;X
EVTDESC100106;Вторая стадия;X
EVTNAME100107;Средняя эмиссия;X
EVTDESC100107;Третья стадия;X
EVTNAME100108;Крупная эмиссия;X
EVTDESC100108;Первая стадия;X
EVTNAME100109;Крупная эмиссия;X
EVTDESC100109;Вторая стадия;X
EVTNAME100110;Крупная эмиссия;X
EVTDESC100110;Третья стадия;X
EVTNAME100111;Небольшая девальвация;X
EVTDESC100111;Первая стадия;X
EVTNAME100112;Небольшая девальвация;X
